author,comment,publishedAt,likeCount
@skygames4k137,Kalo yang pengen beli samsung galaxy a52 mungkin kalian ambil varian 256gb saja karna tinggal tambah 400 ribu loh,2021-11-16T22:53:45Z,0
@muhibbatululya1619,"Hp impian
Pengen yang awesome violet
Semoga secepatnya ada di tangan",2021-10-29T04:06:02Z,0
@sutrisssnow6174,Alhamdullilah udah kebeli😊,2021-10-11T11:47:40Z,0
@rahman_-mn1eh,Semoga tahun ini bisa beli samsung udah lama gak pegang samsung.,2021-10-10T14:47:18Z,0
@claudianikka,Uda beli couple an sama suami dan syukaaaa bgt sama A52.. terbaik bgt buat harga segituuuu.. 256gb pulaa 😍,2021-10-06T10:34:34Z,2
@yuliaandari5134,"Pgn nanya dong kak Samsung a52 kamera depan nya udh d sediain filter"" / efek"" bawaan nya gak? Jd selfie ga natural aj gtu.",2022-02-13T07:48:24Z,0
@claudianikka,@yuliaandari5134 uda ada filternya bbrp disediain jd lebi estetik n ga norakk.. tp klo mw add filter jg bs tanpa musti download 360 etc.. jd lebi mudah,2022-02-13T07:57:32Z,0
@yuliaandari5134,Oke makasih ka info nya .,2022-02-13T08:04:47Z,0
@davinewinarta1450,"yg a52 5g nya, gk masuk indo yaa",2021-09-29T23:45:10Z,0
@SonFriza,"A52 ya, mmmmnn....",2021-09-29T15:13:20Z,0
@galih060,"Akhirnya memutuskan beli yg LTE daripada 5G
Selisih hampir 2jt dibanding yg versi 8/128",2021-09-29T06:10:02Z,2
@charlessiregar1115,Saya beli samsung A52 dari eraphone banyak bonusnya,2021-09-28T01:57:11Z,0
@Rezifajri,Aku masih belum berani bawa nyebur 😀😀,2021-09-24T08:15:39Z,0
@TriySofit,"4 bulan pakai ini, emang suka sama kamera sih, batrei. Hehehe.",2021-09-23T05:56:55Z,0
@kennankurniawan812,Batre boros ga,2021-12-12T01:57:05Z,0
@TriySofit,"@kennankurniawan812 kalo buat seharian full layar aktif 9jam mampu. 
Kalo standby bisa 2 harian.",2021-12-12T02:01:20Z,0
@ASIAN_BAND.,"SPESIFIKASI SAMSUNG A52.S

# IP67 anti aerr guys d cuci bisa
# Layar amoled 6.5 PASTI tajem
# layar 120Hz pasti smoth
# camera joss lah.kaga ragu
# chipset snap.778 enteng game
# jaringannya 5G pasti ngebut
# ram bear 8/256 bisa d plus
# dual sepeker stereo besar kenceng
# batrai 4.500 stand pemakaian
# ngecas penuh cuman 1.5 jam cpet
# Ada colokan headset juga bagus
# Dan udah android terbaru.woke
# soal utama desain udah joss jos

Siapkan uang lalu belie deh😁",2021-09-20T22:35:54Z,4
@dewa_clar7396,"nyesel gw beli a52 baru seminggu kmrn,varian 8/256 lagi, 
masa baru beli seminggu, eeee besok seminggu lagi keluar yg 5G T.T)>
tau gitu nunggu bntar lagi :(((",2021-09-17T07:40:14Z,0
@scattergaming9996,Stereo speaker ga bang?,2021-09-16T14:54:39Z,0
@muhammaddanu4107,Sudah.. enak bgt,2022-04-05T09:11:11Z,0
@sitiazila4802,Yang komen GK di jawab,2021-09-16T03:26:45Z,0
@muhammaddanu4107,Hai,2022-04-05T09:11:22Z,0
@palingdemenmaendiselokan522,GUA YG BELI SANGAT MENYESAL MALAHAN 🤣🤣🤣 BUSUK HAPENYA,2021-09-12T10:11:58Z,0
@galih060,"Kalo tipe power user emang ga direkomendasikan pake Samsung

Speednya dilimit semua sama Samsung untuk menghindari panas berlebihan",2021-09-29T07:46:20Z,0
@zafin33,"cuma bagus desain doang wkwk. gue akui samsung low-midrange jelek  performa sering turun kalau dibuat game dan speknya kurang mantap apalagi harganya aduh bikin dompet nangis wkwk🤣. kalau samsung flagship masih percaya lebih bagus. kalau ambil hp low-midrange lebih bagus realme,xiaomi mantap dah",2021-09-12T04:32:49Z,0
@galih060,"Kalo tipe power user emang ga direkomendasikan pake Samsung bang,
Speed CPU nya dilimitasi semua untuk menghindari panas berlebih...",2021-09-29T07:48:14Z,0
@ersonlona_98,Akhirnya bisa nonton ini pake A52..,2021-09-06T13:32:45Z,1
@rijckyjulianmulyady6352,"Dijual dijual samsung a52 8/128gb white baru dua hari pake, bisa cod atau rekber. 4.4 aja.",2021-09-05T12:11:17Z,0
@DigNet_Colaboration,Belum 5g ya kk?,2021-08-30T08:17:23Z,0
@ahmadrivai9103,Tim CLBK mana ?? Cuma Liet Beli Kaga 🥺,2021-08-30T05:57:20Z,0
@nurbayani4824,Harga resmi nya berapa bang,2021-08-25T16:26:26Z,0
@akbar9696,Saya nungguin A52S 5G 👍,2021-08-25T05:22:41Z,0
@reckysujarwo6967,Bisa berapa kali zoom hp Samsung bang,2021-08-19T10:04:04Z,0
@seethesign,Bismillah tahun depan kita akan bersama ❤️,2021-08-17T12:33:19Z,2
@agustipermana4399,kapaaan lah ya bisa kebeli...,2021-08-17T08:46:29Z,0
@adiningrat1976,Gua nonton pake A52 alhamdulillah ☺,2021-08-14T16:21:57Z,1
@ajifajarbudiman,"Ada bug"" atau masalah gak bang?",2021-08-23T17:08:48Z,0
@adiningrat1976,Aman2 aja bang ?,2021-08-24T07:25:23Z,0
@ajanksmataram,"ada yg tau performa galaxy a52 ini jika dipakai main game pess 2021 dg high quality, 60 fps pada mode online match  ? jawab yg jujur  !!!",2021-08-12T17:09:17Z,0
@presetkuofficial,"Untuk peform game berat g recomend , tpi soal kamera layar wowww",2021-11-06T12:16:01Z,0
@ajanksmataram,"Iya bro, saya udh bli & coba pke game pess 2021, gak recomended high quality, ngelag patah² layarnyA. Klo masalah camera sama video recorder memang wowww diA",2021-11-06T12:19:06Z,0
@agungwibowo3816,Beli hp samsung baru serasa seperti beli hp batangan... Speknya bagus ....tp tanpa charger tanpa headset dengan Alasan biar ramah lingkungan.....sekaliang aja gak usah pakei kotaknya.....🤣,2021-08-12T12:36:47Z,1
@tsaniahafidzahhumairo7237,"Mau nanya pak ketika vidio on bisa ngak langsung di alih dari vidio depan ke belakang,,ko punya saya ngak bisa,,apa perlu settingan ulang apa bagaimana..
Soalnya klw a51 bisa,,klw vidio on bisa langsung pindah vidio depan dan belakang",2021-08-11T14:55:35Z,0
@dedeyoyong281,Mau nanya kalau chargernya dipake cas jbl flip 5 gk apa apa?,2021-08-11T07:41:18Z,0
@sann_0n3,Sayang banget a52 nggk bisa pake 2 sim card+ sd card,2021-08-10T09:44:37Z,0
@rezzy_sptr,Alhamdulillah kemarin nonton ajah di yt sekarang udah punya A52,2021-08-08T12:07:07Z,0
@bawelzhurep2855,Alhamdullah baru saja meminang samsung A52,2021-08-05T04:42:15Z,0
@zertx_AE,"25w buat 5000MAH 
,😆",2021-08-01T11:40:01Z,0
